1	01
1	02
1	03
1	04
2	05
3	06
8	08
2	09
5	10
1	01
3	02
1	03
3	04
2	05
2	06
3	07
3	08
2	09
4	10
1	01
3	02
2	03
2	04
2	05
6	06
2	07
1	09
3	10
1	01
2	02
1	04
3	05
2	06
4	07
1	08
4	09
1	10
4	01
2	02
1	03
2	04
1	05
2	06
4	07
2	08
6	09
3	10
2	01
1	02
1	03
2	04
4	05
5	06
2	10
3	01
3	02
4	03
6	04
4	05
2	06
1	07
3	09
3	10
2	01
1	02
3	03
1	04
4	05
3	06
3	07
2	08
1	09
2	10
3	01
2	02
4	03
2	04
4	05
1	06
1	07
2	09
1	10
3	01
3	02
6	03
3	04
6	05
2	06
3	07
2	08
1	09
3	10
1	04
1	05
1	06
4	07
1	09
3	10
3	01
1	02
1	03
3	04
5	05
2	06
2	07
2	08
3	09
4	10
2	01
1	02
1	03
3	04
1	05
4	06
4	07
2	09
4	02
2	03
1	04
3	05
4	06
4	07
2	08
2	10
1	01
2	02
2	03
4	04
5	06
1	08
2	09
3	10
2	02
2	03
1	04
5	06
3	07
2	09
3	10
1	02
3	03
1	04
2	05
2	06
2	07
1	08
6	09
2	10
2	02
1	03
2	05
2	06
1	07
2	08
3	09
2	01
3	02
2	03
2	05
4	06
1	07
1	09
3	10
2	01
1	02
3	03
1	04
1	05
2	06
1	07
2	08
3	09
2	10
2	01
4	03
2	04
1	05
4	06
2	07
2	08
5	09
3	10
1	01
1	02
1	03
3	04
3	06
4	07
2	08
4	09
1	10
2	03
3	04
1	05
1	06
2	07
1	08
5	09
4	10
2	01
1	02
1	03
2	04
3	05
1	06
4	07
3	08
6	09
3	10
2	01
4	02
1	03
1	04
6	05
1	06
6	10
2	01
1	03
1	04
1	05
5	06
4	07
1	08
2	09
2	10
1	01
1	02
1	03
1	04
2	05
1	06
3	07
1	08
3	09
5	10
6	02
1	03
1	04
2	05
3	06
1	07
1	08
3	09
3	10
1	01
1	03
8	05
1	06
1	07
1	08
7	09
7	10
1	03
3	05
1	06
1	08
2	09
2	10
2	01
2	03
3	05
4	07
2	08
2	10

